Name of School,"Elementary, Middle, or High School",Street Address,ZIP Code,Link ,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Leaders Score ,Teachers Icon ,Teachers Score,Parent Engagement Icon ,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students) ,Average Teacher Attendance,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,Net Change PLAN and ACT,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,Community Area Number,Community Area Name,Ward,Police District,probation,Id
Williams Preparatory Academy Middle School,MS,2710 S Dearborn St ,60616,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610336.pdf,No,Average,49.0,NDA,NDA,Average,42.0,Average,48.0,NDA,NDA,NDA,NDA,Average,53,Strong,56,93.3%,14.8,92.4%,96.8%,NDA,NDA,NDA,NDA,NDA,NDA,16.2,26.1,56.3,50,2.8,11.1,7.8,15.5,0.4,3.3,Yellow,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,125,40,NDA,35,DOUGLAS,3,1,1,610336
Kenwood Academy High School,HS,5015 S Blackstone Ave ,60615,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609746.pdf,No,Strong,63.0,NDA,NDA,Average,48.0,Average,56.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,88.4%,5.9,95.3%,99.4%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,60.2,75,69.5,31.0,-1.1,-0.5,Red,Yellow,81.2,49,15.6,15.1,16.8,16.9,1.3,19.1,2.3,26.8,69.5,79.7,1852,46,70.3,39,KENWOOD,4,2,0,609746
Frank W Gunsaulus Elementary Scholastic Academy,ES,4420 S Sacramento Ave ,60632,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609958.pdf,No,Average,46.0,Weak,38,Weak,30.0,Average,45.0,Weak,34,Very Weak,14,Average,49,Average,48,96.6%,87.3,96.0%,100.0%,72.8,61.1,44,32.7,48.2,59.2,56.3,51.1,56.5,59.6,27.4,42.4,24.0,18.1,0.6,1.7,Green,Green,22.4,100,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,867,39,NDA,58,BRIGHTON PARK,14,9,0,609958
Hannah G Solomon Elementary School,ES,6206 N Hamlin Ave ,60659,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610182.pdf,No,Strong,78.0,Very Strong,96,Strong,67.0,Strong,62.0,Strong,75,Strong,62,Average,52,Average,51,95.8%,0.8,95.7%,99.0%,71.2,51.1,74.4,63.6,59.1,70,73.9,72.8,75,67.4,45.5,63.6,52.4,42.8,0.6,-0.2,Yellow,Yellow,45.5,93.3,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,363,31,NDA,13,NORTH PARK,39,17,0,610182
Robert L Grimes Elementary School,ES,5450 W 64th Pl ,60638,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609956.pdf,No,Strong,79.0,Strong,64,Average,56.0,Average,59.0,Strong,72,Strong,71,Average,53,Average,49,95.2%,5.0,95.6%,100.0%,58.8,39.4,37.4,39.7,50.7,50.3,45.5,57.3,51,58.7,17.4,32.6,22.1,18.8,-0.4,0.6,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,486,44,NDA,64,CLEARING,13,8,0,609956
Lyman A Budlong Elementary School,ES,2701 W Foster Ave ,60625,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609817.pdf,No,Average,59.0,Average,56,Weak,33.0,Weak,38.0,Average,44,Average,41,Average,50,Average,49,95.4%,3.9,95.7%,98.7%,77.1,54.4,44.9,53.5,48.1,57.9,36.3,44,44.7,36.4,9.1,23.6,26.6,23.7,-1.7,-0.4,Red,Yellow,48.1,16,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,864,31,NDA,4,LINCOLN SQUARE,40,20,0,609817
John J Audubon Elementary School,ES,3500 N Hoyne Ave ,60618,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609782.pdf,No,Very Strong,95.0,Strong,73,Strong,75.0,Strong,60.0,Strong,60,Strong,65,Strong,61,Average,47,96.2%,4.5,96.7%,98.6%,NDA,54.3,72.1,68.9,65.5,76.7,67.5,70.3,82.6,65.3,31.6,36.8,45.3,34.8,1.2,1.1,Green,Green,47.4,61.1,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,580,33,NDA,5,NORTH CENTER,47,19,0,609782
Joshua D Kershaw Elementary School,ES,6450 S Lowe Ave ,60621,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610019.pdf,No,Strong,62.0,Strong,63,Strong,69.0,Average,56.0,Average,50,Average,59,Strong,58,Strong,63,94.8%,8.2,96.0%,100.0%,NDA,NDA,55.2,46.3,71.6,71.6,67.2,58.1,83.3,78.7,5.6,38.9,22.3,16.2,1.9,1.1,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,262,45,NDA,68,ENGLEWOOD,20,7,0,610019
Daniel R Cameron Elementary School,ES,1234 N Monticello Ave ,60651,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609835.pdf,No,Average,42.0,NDA,NDA,Average,49.0,Average,50.0,NDA,NDA,NDA,NDA,Weak,46,Weak,46,92.6%,153.9,96.2%,98.4%,47.8,21.1,16.4,16.1,31.3,34.7,19.2,15.6,33.5,35,9.2,7.1,10.3,5.9,-1.0,-1.4,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,828,34,NDA,23,HUMBOLDT PARK,26,25,1,609835
William J Onahan Elementary School,ES,6634 W Raven St ,60631,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610104.pdf,No,Strong,64.0,Average,59,Weak,29.0,Weak,27.0,Weak,32,Weak,39,Average,47,Weak,44,95.7%,6.9,96.1%,98.8%,76.8,56.2,62.7,61.2,40.8,53.9,60.2,63.8,49.7,44.8,44,54,35.1,29.6,0.2,0.0,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,687,30,NDA,10,NORWOOD PARK,41,16,0,610104
Mary E McDowell Elementary School,ES,1419 E 89th St ,60619,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610312.pdf,No,NDA,,Average,49,NDA,,NDA,,Strong,74,Average,53,NDA,NDA,NDA,NDA,95.5%,3.1,96.1%,100.0%,79.3,53.8,39,54.2,50.8,64.4,NDA,NDA,NDA,NDA,NDA,NDA,21.0,16.1,0.0,-0.5,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,188,47,NDA,48,CALUMET HEIGHTS,8,4,0,610312
Hanson Park Elementary School,ES,5411 W Fullerton Ave ,60639,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610068.pdf,No,Weak,35.0,NDA,NDA,Weak,34.0,Weak,33.0,NDA,NDA,NDA,NDA,Average,50,Average,47,95.0%,24.4,94.9%,100.0%,48.5,42.6,31,20.6,45.9,51.5,42,29.2,50.7,41.2,12.4,22.1,14.4,11.0,-0.8,-0.5,Red,Yellow,14,88.2,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1499,29,NDA,19,BELMONT CRAGIN,37,25,0,610068
Wendell E Green Elementary School,ES,1150 W 96th St ,60643,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610032.pdf,No,Weak,32.0,NDA,NDA,Average,47.0,Average,53.0,NDA,NDA,NDA,NDA,Average,53,Average,47,93.9%,20.1,95.7%,100.0%,59.4,46.3,53,39.2,72.6,63.5,55.2,37.5,59.8,67.5,12.5,12.5,25.8,15.7,2.2,1.0,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,254,49,NDA,73,WASHINGTON HEIGHTS,21,22,0,610032
Galileo Math & Science Scholastic Academy Elementary School,ES,820 S Carpenter St ,60607,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610009.pdf,No,Strong,65.0,Average,52,Average,40.0,Average,42.0,Average,56,Weak,33,Average,49,Average,50,95.0%,3.1,97.0%,100.0%,77.3,60.5,54.7,55.4,68.7,68.2,55.6,59.5,66.3,56.6,33.3,41.7,26.5,22.3,-1.0,-0.8,Red,Red,33.3,78.9,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,606,38,NDA,28,NEAR WEST SIDE,25,12,0,610009
James Weldon Johnson Elementary School,ES,1420 S Albany Ave ,60623,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610274.pdf,No,Strong,67.0,Weak,38,Strong,61.0,Strong,75.0,Strong,63,Strong,66,Average,51,Strong,54,94.7%,1.4,97.5%,100.0%,64.3,NDA,21.3,19.8,54.3,48.8,17.3,28,59.3,50,3.8,30.8,8.9,5.0,-0.4,-1.0,Yellow,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,365,37,NDA,29,NORTH LAWNDALE,24,10,1,610274
Rodolfo Lozano Bilingual & International Center Elementary School,ES,1501 N Greenview Ave ,60622,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610029.pdf,No,Average,55.0,NDA,NDA,Weak,39.0,Weak,37.0,NDA,NDA,NDA,NDA,Weak,45,Average,53,94.8%,0.9,96.2%,100.0%,70,38.7,31,29.5,44.7,54.3,38.9,34.7,55.6,50,15,20,9.3,11.3,-0.4,-0.2,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,319,35,NDA,24,WEST TOWN,32,14,0,610029
Alexander Graham Elementary School,ES,4436 S Union Ave ,60609,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609947.pdf,No,Average,49.0,Weak,30,Weak,31.0,Weak,33.0,Weak,30,Average,41,Average,48,Average,51,92.5%,27.4,95.0%,92.1%,76.7,47.4,59.4,38.8,51.6,76.2,44.4,31.3,66.7,49.3,5.9,35.3,20.8,11.1,1.7,-0.5,Green,Yellow,45.3,31.8,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,476,42,NDA,61,NEW CITY,11,9,0,609947
Tarkington School of Excellence Elementary School,ES,3330 W 71st St ,60629,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610396.pdf,No,Average,48.0,NDA,NDA,Weak,39.0,Average,40.0,NDA,NDA,NDA,NDA,Average,49,Strong,56,95.9%,10.5,96.6%,100.0%,NDA,NDA,36.3,34.5,56,53.7,30.6,36.7,53.4,56.1,6.3,10.7,13.4,9.7,-0.9,-0.2,Red,Yellow,26.1,53.3,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1070,44,NDA,66,CHICAGO LAWN,18,8,0,610396
John W Cook Elementary School,ES,8150 S Bishop St ,60620,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609864.pdf,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Weak,45,Average,47,94.0%,26.0,94.0%,100.0%,57.1,36,21.5,12.7,42.4,55.4,41.2,31.8,68.7,68.2,1.7,6.8,6.4,4.6,0.8,0.6,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,482,49,NDA,71,AUBURN GRESHAM,21,6,1,609864
Chicago Academy Elementary School,ES,3400 N Austin Ave ,60634,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610248.pdf,No,Strong,66.0,NDA,NDA,Average,40.0,Weak,22.0,NDA,NDA,NDA,NDA,Average,47,Average,51,96.3%,6.0,96.1%,100.0%,NDA,NDA,66.3,62.6,66.7,68.8,62.9,64.9,57.5,62.4,26.7,46.7,41.9,30.3,-0.1,1.8,Yellow,Green,50,53.8,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,601,30,NDA,17,DUNNING,38,16,0,610248
John T Pirie Fine Arts & Academic Center Elementary School,ES,650 E 85th St ,60619,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610130.pdf,No,Weak,26.0,Average,44,Strong,63.0,Strong,62.0,Average,43,Average,46,NDA,NDA,NDA,NDA,93.5%,20.8,95.4%,100.0%,74.5,49.6,31.1,37.3,55.8,49.7,44.2,50,71.8,73.7,NDA,NDA,10.7,20.9,0.1,1.6,Yellow,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,384,45,NDA,44,CHATHAM,6,6,0,610130
Nathan S Davis Elementary School,ES,3014 W 39th Pl ,60632,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609876.pdf,No,Average,43.0,NDA,NDA,Average,41.0,Average,46.0,NDA,NDA,NDA,NDA,Average,48,Average,50,95.1%,2.4,95.9%,94.0%,42.1,NDA,35.4,20.7,44.4,55.3,39.2,24.3,61.4,48.2,18.6,26.7,16.2,9.2,0.5,1.0,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1032,39,NDA,58,BRIGHTON PARK,14,9,0,609876
Daniel Boone Elementary School,ES,6710 N Washtenaw Ave ,60645,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609804.pdf,No,Average,52.0,Average,50,Average,47.0,Average,48.0,Average,45,Average,53,Average,50,Average,49,95.5%,10.5,95.4%,97.6%,65,43,39.7,33.2,55.4,61.8,43.1,35.2,56.3,42.3,22.5,35,22.0,17.6,1.1,1.9,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,752,32,NDA,2,WEST RIDGE,50,24,0,609804
James Madison Elementary School,ES,7433 S Dorchester Ave ,60619,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610047.pdf,No,Weak,39.0,NDA,NDA,Weak,32.0,Weak,28.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,94.9%,12.4,97.7%,100.0%,60,60.7,21.8,24.3,52,49,33.3,19.3,48.8,38.6,3.1,28.1,14.1,5.1,0.7,-0.9,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,317,46,NDA,43,SOUTH SHORE,5,3,1,610047
Paul Laurence Dunbar Career Academy High School,HS,3000 S King Dr ,60616,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609676.pdf,No,Weak,29.0,Average,57,Weak,31.0,Weak,37.0,Average,57,Average,49,NDA,NDA,NDA,NDA,76.9%,21.5,96.0%,98.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.8,12.7,13.9,13.8,1,14.7,0.8,6.9,61.7,51.5,1456,40,65.7,35,DOUGLAS,2,1,1,609676
Friedrich Ludwig Jahn Elementary School,ES,3149 N Wolcott Ave ,60657,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610010.pdf,No,Strong,72.0,NDA,NDA,Strong,60.0,Average,59.0,NDA,NDA,NDA,NDA,Average,50,Weak,46,94.7%,19.9,94.7%,100.0%,59.4,36.2,41.4,40.6,47.9,48.9,30.2,45.5,40.6,58.7,13.5,32.4,23.9,15.2,0.3,0.0,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,495,33,NDA,5,NORTH CENTER,32,19,0,610010
Edward C Delano Elementary School,ES,3937 W Wilcox St ,60624,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609881.pdf,No,Weak,38.0,Strong,64,Strong,66.0,Average,52.0,Strong,63,Strong,79,Strong,55,Strong,58,93.4%,20.3,94.7%,94.7%,88.4,76.7,26.7,18,62.6,62,41.5,32,67.1,69.3,3.4,6.9,6.8,10.9,1.0,1.7,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,414,34,NDA,26,WEST GARFIELD PARK,28,11,1,609881
Florence B Price Elementary School,ES,4351 S Drexel Blvd ,60653,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610258.pdf,No,Weak,20.0,NDA,NDA,Weak,37.0,Average,46.0,NDA,NDA,NDA,NDA,Weak,46,Average,47,90.0%,156.6,95.2%,100.0%,NDA,NDA,10,13.5,46.9,41.7,7.8,27.3,44.6,50.7,0,6.9,0.0,0.7,-1.6,-0.2,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,112,40,NDA,39,KENWOOD,4,2,1,610258
Pablo Casals Elementary School,ES,3501 W Potomac Ave ,60651,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610021.pdf,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,Weak,42,Weak,43,92.0%,47.1,95.9%,97.2%,45.1,32.1,23.6,14.6,46.7,39.7,24.6,25.8,45.4,67.2,8.2,18.4,9.6,5.0,-1.1,-0.3,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,505,34,NDA,23,HUMBOLDT PARK,26,14,1,610021
Victor Herbert Elementary School,ES,2131 W Monroe St ,60612,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609989.pdf,No,Average,50.0,Average,52,Strong,64.0,Strong,72.0,Average,48,Average,50,Average,50,Average,52,92.8%,10.3,96.2%,100.0%,58.4,26,53.3,34.9,63.7,83.5,53.8,29,73.9,58.1,25,25,30.0,10.3,2.1,-0.8,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,398,38,NDA,28,NEAR WEST SIDE,2,12,0,609989
Robert H Lawrence Elementary School,ES,9928 S Crandon Ave ,60617,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610045.pdf,No,Very Weak,19.0,Weak,29,Average,40.0,Average,51.0,Weak,35,Weak,30,NDA,NDA,NDA,NDA,90.7%,14.0,95.3%,100.0%,56.7,35.9,9,14.6,41.2,31,8,15.8,37.3,40.6,5.3,15.8,2.7,3.4,-1.4,-1.3,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,371,47,NDA,51,SOUTH DEERING,7,4,1,610045
World Language Academy High School,HS,3120 S Kostner Ave ,60623,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610392.pdf,No,Average,51.0,Weak,33,Average,49.0,Average,47.0,Average,49,Average,49,Average,50,Weak,46,91.6%,4.0,96.0%,100.0%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,12.9,13.4,14.6,14.1,1.2,16.2,1.6,14.6,69.4,48.1,382,37,76,30,SOUTH LAWNDALE,22,10,0,610392
Enrico Fermi Elementary School,ES,1415 E 70th St ,60637,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609916.pdf,No,Weak,30.0,Average,42,Strong,65.0,Strong,63.0,Average,42,Average,47,NDA,NDA,NDA,NDA,89.9%,101.2,95.4%,100.0%,43.8,8.3,10.7,18.1,35.9,26.6,6.3,7.9,32.7,32.7,0,11.5,0.6,2.6,-1.0,-1.0,Red,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,238,46,NDA,43,SOUTH SHORE,5,3,1,609916
Claremont Academy Elementary School,ES,2300 W 64th St ,60636,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610347.pdf,No,Weak,36.0,Weak,33,Average,50.0,Average,51.0,Strong,62,Average,59,Weak,46,Average,52,92.5%,64.2,96.2%,100.0%,58.7,60.5,40.9,22.5,52.3,66.9,46,31.7,72.5,61,14.9,14.9,12.1,8.1,0.3,0.7,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,531,43,NDA,66,CHICAGO LAWN,15,8,1,610347
Dumas Technology Academy,ES,6650 S Ellis Ave ,60637,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610266.pdf,No,Very Weak,19.0,NDA,NDA,Weak,25.0,Average,49.0,NDA,NDA,NDA,NDA,Average,48,Average,53,92.5%,38.4,95.6%,98.1%,63.6,12,22,18.8,61.6,63.7,20,22.4,61,53.7,15.9,40.9,8.3,5.8,-0.2,-0.7,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,381,46,NDA,42,WOODLAWN,5,3,1,610266
Augustus H Burley Elementary School,ES,1630 W Barry Ave ,60657,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609820.pdf,No,Very Strong,99.0,NDA,NDA,Strong,78.0,Strong,65.0,NDA,NDA,NDA,NDA,Strong,59,Average,49,96.5%,0.7,95.0%,97.9%,69.4,47,64.5,70.2,51.2,66.7,69.4,75,62.9,67.3,50,69.6,54.2,53.3,1.3,2.1,Green,Green,35.7,80,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,572,33,NDA,6,LAKE VIEW,32,19,0,609820
Frank L Gillespie Elementary School,ES,9301 S State St ,60619,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609939.pdf,No,Weak,27.0,NDA,NDA,Weak,30.0,Average,45.0,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,91.9%,2.1,96.3%,98.8%,55.1,33.6,24.7,24,50.7,58.7,36.8,33.8,53.2,52.8,8.1,16.2,7.6,5.6,0.2,0.2,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,609,48,NDA,49,ROSELAND,6,6,1,609939
Walter S Christopher Elementary School,ES,5042 S Artesian Ave ,60632,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609855.pdf,No,NDA,,Average,48,NDA,,NDA,,Strong,72,Strong,64,Average,52,Average,53,86.1%,4.0,94.1%,100.0%,42.9,15.8,28.8,19,66.1,45.5,61.7,44.7,63,54.3,7.7,38.5,13.3,5.7,0.7,0.7,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,279,43,NDA,63,GAGE PARK,14,9,1,609855
Edward K Ellington Elementary School,ES,243 N Parkside Ave ,60644,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609904.pdf,No,Weak,30.0,NDA,NDA,Weak,37.0,Average,55.0,NDA,NDA,NDA,NDA,Average,49,Average,50,93.3%,17.4,97.3%,98.9%,56.6,46.9,29.5,33.3,60.6,64.5,43.6,29.9,69.3,60.8,11.1,14.8,16.1,8.0,1.9,0.4,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,377,36,NDA,25,AUSTIN,29,15,1,609904
Friedrich W von Steuben Metropolitan Science High School,HS,5039 N Kimball Ave ,60625,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609737.pdf,No,Strong,70.0,Weak,39,Average,42.0,Average,51.0,Weak,26,Weak,29,NDA,NDA,NDA,NDA,87.0%,4.0,95.6%,99.2%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,15.9,15.7,17.3,16.7,0.8,20.4,3.1,34.6,88.2,78.5,1636,31,76.8,13,NORTH PARK,39,17,0,609737
Enrico Tonti Elementary School,ES,5815 S Homan Ave ,60629,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610203.pdf,No,NDA,,Average,44,NDA,,NDA,,Average,47,Average,54,Average,49,Average,49,95.8%,2.1,97.2%,100.0%,73.4,35.7,37.9,24.8,47.9,59.5,NDA,NDA,NDA,NDA,NDA,NDA,17.5,13.0,0.7,0.3,Green,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,1021,44,NDA,63,GAGE PARK,14,8,0,610203
Harriet E Sayre Elementary Language Academy,ES,1850 N Newland Ave ,60707,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610158.pdf,No,Strong,68.0,NDA,NDA,Average,41.0,Average,50.0,NDA,NDA,NDA,NDA,Weak,44,Average,49,96.2%,2.6,96.6%,100.0%,69.1,NDA,37.6,42.5,44.8,37.1,41.7,48.1,47.6,42.8,20,38.3,19.6,17.3,-0.5,0.0,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,605,29,NDA,25,AUSTIN,36,25,0,610158
Charles P Steinmetz Academic Centre High School,HS,3030 N Mobile Ave ,60634,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_609732.pdf,No,Weak,26.0,Weak,35,Weak,29.0,Weak,34.0,Weak,36,Weak,32,NDA,NDA,NDA,NDA,79.2%,30.4,96.2%,99.6%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,13,13.8,13.8,14.3,1.3,16.1,2.3,16.3,56.7,47,1890,30,70.3,19,BELMONT CRAGIN,36,25,1,609732
Edward N Hurley Elementary School,ES,3849 W 69th Pl ,60629,http://schoolreports.cps.edu/SchoolProgressReport_Eng/Spring2011Eng_610006.pdf,No,Strong,77.0,Average,56,Average,50.0,Average,49.0,Average,43,Average,54,Average,49,Weak,46,95.4%,12.2,94.9%,96.6%,74.8,51.7,47.6,32.1,56.6,58.4,47,39.6,54,60.7,19,26.7,16.4,11.7,0.0,0.8,Yellow,Green,NDA,30.3,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,830,44,NDA,65,WEST LAWN,13,8,0,610006
